name,LTE,year,weight,display_type,screen_size,ppi,cpu_ghz,ram,internal,camera,front_cam,blth_v,battery,price
LG G5,1,2016,159,LCD,5.3,554,2.15,4.0,32.0,16.0,8.0,4.2,2800,341.99999999999994
LG X cam,1,2016,118,LCD,5.2,424,1.14,2.0,16.0,13.0,8.0,4.2,2520,239.4
LG X screen,1,2016,120,LCD,4.93,298,1.2,2.0,16.0,13.0,8.0,4.1,2300,148.2
LG K8,1,2016,157,LCD,5.0,294,1.3,1.5,16.0,8.0,5.0,4.2,2125,136.79999999999998
LG Stylus 2,1,2016,145,LCD,5.7,258,1.2,1.5,16.0,13.0,8.0,4.1,3000,193.8
LG K10,1,2016,142,LCD,5.3,277,1.2,1.0,16.0,13.0,5.0,4.1,2300,193.8
LG K7,1,2016,161,LCD,5.0,196,1.3,1.0,8.0,5.0,5.0,4.1,2125,125.4
Meizu C9 Pro,1,2018,150,LCD,5.45,295,1.3,3.0,32.0,13.0,13.0,4.1,3000,125.4
Meizu C9,1,2018,150,LCD,5.45,295,1.3,2.0,16.0,13.0,8.0,4.1,3000,102.6
Meizu Note 8,1,2018,168,LCD,6.0,402,1.8,4.0,64.0,12.0,8.0,4.2,3600,228.0
